"","compound","null.model.n","alt.model.n","null.model.sum","alt.model.sum","null.model.sd","alt.model.sd","rss.diff","mannwhit.pval","mannwhit.ec50","Tm_fit.ec50","Tm_fit.pval","Tm_fit.maxDiff","auc.ec50","auc.pval","auc.maxDiff","mannwhit.pval.sig","Tm_fit.pval.sig","auc.pval.sig","mannwhit.rankOrder","Tm_fit.rankOrder","auc.rankOrder"
"11","NCGC00371840-01",58,58,0.317784004676926,0.0193793476623368,0.00798687912007331,0.00042498613544848,0.298404657014589,8.82023574056014e-09,9.39e-05,2.33724867928703e-05,2.58544664499816e-06,2.7961040715617,2.18376837617873e-05,2.48000773961365e-06,-3.11736851331408,1,1,1,29,27,27
"12","NCGC00371904-01",58,58,0.773785643801677,0.0293805315587033,0.0188151744382733,0.000627907190471579,0.744405112242973,2.10933153169725e-09,3.82e-06,3.54366434523558e-06,5.48419777368636e-08,3.53847590825612,3.93276793455577e-06,4.55612922944937e-08,-3.95320820640944,1,1,1,22,20,21
"13","NCGC00371908-01",58,58,0.510441112543041,0.0627358459856752,0.0117453331326524,0.00142296833191764,0.447705266557366,1.08398818751069e-05,1.18e-05,1.0607166203301e-05,2.39495019584979e-05,3.38183143904521,1.11679503459282e-05,2.35695867765173e-05,-3.75034916111384,1,1,1,25,24,25
"14","NCGC00371956-01",58,58,0.947792288842572,0.0233956757855554,0.0224408254674531,0.000501294129281618,0.924396613057017,3.01015515735365e-12,2.46e-06,4.20584514254943e-06,3.68604924361193e-09,3.74856006179741,4.38892901241761e-06,2.34506114527022e-09,-4.1807434664102,1,1,1,19,21,22
"15","NCGC00372530-01",58,58,1.28975811315618,0.0300342703565542,0.0294916948927557,0.000596742809842066,1.25972384279963,3.60205793960357e-14,2.05e-07,2.14424347607534e-07,2.5235785683364e-09,4.21429552043642,2.15870229155526e-07,1.71210279287237e-09,-4.7207737963741,1,1,1,16,14,15
"16","NCGC00372530-03",58,58,1.66711243776289,0.017610616194819,0.0380216988910844,0.000280088338313396,1.64950182156807,3.72755708823134e-16,2.51e-07,2.79398359370937e-07,1.35407240975383e-11,4.2539810577131,2.80352118678909e-07,1.08821840427709e-11,-4.75949086960792,1,1,1,17,15,16
"17","NCGC00379365-05",58,58,0.94619565395165,0.0898620538060922,0.0211815248784457,0.00155085795336982,0.856333600145558,6.9360837102059e-08,3.25e-08,3.42128525716623e-08,8.6727971274625e-06,4.25813398395823,3.37519326485062e-08,7.03365478904594e-06,-4.79157686017203,1,1,1,12,10,11
"18","NCGC00384370-01",58,58,1.48731633095092,0.0539468644514548,0.0338581349398547,0.00122495378256244,1.43336946649946,5.09385533595213e-11,3.61e-07,4.73545112173182e-07,1.83549198062849e-08,4.46051846671,4.51126518061412e-07,1.83678812160082e-08,-4.90544751793187,1,1,1,18,16,17
"19","NCGC00384414-03",58,58,0.917698041919206,0.226650439661803,0.0177090106853826,0.00344966736097529,0.691047602257402,4.23281414995145e-05,1.42e-08,1.20647752941874e-08,0.00282219463159183,3.6850735077301,1.24368924030847e-08,0.00139218351410852,-4.19181822213203,1,0,1,4,NA,4
"20","NCGC00386994-02",58,58,0.880274551351411,0.300490465039632,0.0179583081381121,0.0059683368875259,0.579784086311779,0.000276882401063934,9.79e-09,0,0,0,0,0,0,1,1,1,1,1,1
"21","NCGC00388587-02",58,58,1.2421743616008,0.0958667743896674,0.0265820779457965,0.00136393983915953,1.14630758721114,1.33030240272809e-07,2.96e-08,3.09401947497747e-08,8.62538638290999e-08,4.29686347022098,3.0824125814054e-08,8.41328671175035e-08,-4.82040017924218,1,1,1,10,8,9
"22","NCGC00389119-01",58,58,1.28931958406235,0.165333118208138,0.0283325822766571,0.00320395960529148,1.12398646585421,1.47202868253553e-07,6.4e-08,5.70068440425352e-08,0.000258256142709246,4.43575648775911,5.75058281099554e-08,0.000154571892396538,-4.98121127640576,1,1,1,14,12,13
"23","NCGC00390006-03",58,58,0.767352423837298,0.154527621825993,0.0163627760640643,0.00255560617849263,0.612824802011305,6.73159634786037e-05,1.09e-08,1.07116097864859e-08,0.00038533107027594,3.69108078227529,1.06557950747878e-08,0.000502765601314348,-4.18587278029751,1,1,1,2,3,3
"24","NCGC00390101-01",58,58,1.13182932927355,0.153190650370915,0.0237545058200467,0.00301250146582128,0.978638678902631,7.96016104932598e-07,1.64e-08,1.6800029976725e-08,4.53316005144533e-06,4.05341933065912,1.69576981766879e-08,6.02627437118475e-06,-4.59281908727475,1,1,1,6,5,6
"25","NCGC00390150-01",58,58,1.13538189948032,0.403670579939477,0.0225145373827499,0.00856145476753403,0.73171131954084,7.42931712034826e-05,2.46e-08,1.41121515206767e-08,0.0841641990920853,4.30629904448588,1.54624729856469e-08,0.06358604458918,-4.8681943878322,1,0,0,8,NA,NA
"26","NCGC00420737-13",58,58,1.09888695935838,0.0599708653579314,0.0230906497933073,0.000764457004756632,1.03891609400044,2.02412486841683e-12,1.57e-08,1.55334045565176e-08,4.45450309971562e-09,3.74614961641728,1.55935997502154e-08,2.16059459212659e-09,-4.22923774797896,1,1,1,5,4,5
"27","NCGC00420796-01",58,58,0.0897395358590872,0.0167344018557666,0.00211425310587016,0.000297200076679627,0.0730051340033206,0.000228061051255846,5.83e-06,2.70668513283867e-06,0.000180880123973326,0.883307571852782,3.215485684921e-06,0.000139087440654717,-1.01044136026918,1,1,1,24,17,20
"28","NCGC00421821-02",58,58,1.03006539732711,0.118039955850103,0.0228604071804399,0.00219930909623163,0.912025441477002,2.67802411450209e-07,4.79e-08,4.21340526954302e-08,0.00010619135116563,4.03731721409642,4.29070872909833e-08,6.9842265174147e-05,-4.54154663945992,1,1,1,13,11,12
"29","NCGC00421834-01",58,58,1.08110584936262,0.155383704906726,0.0207216870423315,0.0023473469375388,0.925722144455889,3.9466572001345e-10,1.23e-08,9.79315535088684e-09,9.31774384216322e-06,3.80813494759209,9.95791286668588e-09,2.89762908867175e-06,-4.31589732516515,1,1,1,3,2,2
"30","NCGC00481011-01",58,58,1.14090709496795,0.112180726627554,0.0241894345407203,0.00204485325655325,1.0287263683404,4.10849581373815e-09,2.69e-08,2.5174864676922e-08,2.88246420500071e-05,4.50811319264832,2.56628044812587e-08,1.63763773873837e-05,-5.06082184548873,1,1,1,9,7,8
"31","NCGC00488669-01",58,58,0.985861483106763,0.0814548615930726,0.0208876892634042,0.00132319614430232,0.90440662151369,3.66419368836995e-12,2.43e-08,2.25125986424214e-08,2.60328153078859e-06,4.07031848825463,2.26365191673703e-08,1.14788100646912e-06,-4.55928038854843,1,1,1,7,6,7
